"Libellé";"Nuitées dans l'hôtellerie - Résidents - Départements d'outre-mer";"Codes";"Nuitées dans l'hôtellerie - Résidents - Île-de-France";"Codes";"Nuitées dans l'hôtellerie - Résidents - Centre-Val de Loire";"Codes";"Nuitées dans l'hôtellerie - Résidents - Bourgogne-Franche-Comté";"Codes";"Nuitées dans l'hôtellerie - Résidents - Normandie";"Codes";"Nuitées dans l'hôtellerie - Résidents - Hauts-de-France";"Codes";"Nuitées dans l'hôtellerie - Résidents - Grand Est";"Codes";"Nuitées dans l'hôtellerie - Résidents - Pays de la Loire";"Codes";"Nuitées dans l'hôtellerie - Résidents - Bretagne";"Codes";"Nuitées dans l'hôtellerie - Résidents - Nouvelle-Aquitaine";"Codes";"Nuitées dans l'hôtellerie - Résidents - Occitanie";"Codes";"Nuitées dans l'hôtellerie - Résidents - Auvergne-Rhône-Alpes";"Codes";"Nuitées dans l'hôtellerie - Résidents - Provence-Alpes-Côte d'Azur";"Codes";"Nuitées dans l'hôtellerie - Résidents - Corse";"Codes"
"2017-08";"335.92";"A";"2089";"A";"493";"A";"545";"A";"670";"A";"549";"A";"874";"A";"740";"A";"876";"A";"1848";"A";"1770";"A";"1937";"A";"1941";"A";"471.0";"A"
"2017-07";"294.06";"A";"2601";"A";"505";"A";"557";"A";"616";"A";"580";"A";"859";"A";"666";"A";"708";"A";"1525";"A";"1416";"A";"1825";"A";"1651";"A";"386.0";"A"
"2017-06";"204.9";"A";"2734";"A";"464";"A";"499";"A";"578";"A";"608";"A";"859";"A";"637";"A";"649";"A";"1247";"A";"1155";"A";"1516";"A";"1308";"A";"355.0";"A"
"2017-05";"251.88";"A";"2628";"A";"439";"A";"472";"A";"576";"A";"592";"A";"829";"A";"552";"A";"622";"A";"1189";"A";"1075";"A";"1311";"A";"1243";"A";"296.0";"A"
"2017-04";"336.87";"A";"2605";"A";"423";"A";"435";"A";"581";"A";"604";"A";"763";"A";"561";"A";"602";"A";"1211";"A";"1027";"A";"1346";"A";"1226";"A";"162.0";"A"
"2017-03";"348.08";"A";"2730";"A";"329";"A";"391";"A";"444";"A";"545";"A";"691";"A";"446";"A";"479";"A";"921";"A";"771";"A";"1572";"A";"978";"A";"47.0";"A"
"2017-02";"319.45";"A";"2240";"A";"266";"A";"364";"A";"379";"A";"450";"A";"616";"A";"364";"A";"384";"A";"785";"A";"682";"A";"1696";"A";"860";"A";"33.0";"A"
"2017-01";"329.16";"A";"2516";"A";"245";"A";"310";"A";"319";"A";"449";"A";"550";"A";"351";"A";"333";"A";"620";"A";"571";"A";"1342";"A";"733";"A";"26.0";"A"
"2016-12";"315.7";"A";"2691";"A";"278";"A";"334";"A";"372";"A";"493";"A";"894";"A";"374";"A";"378";"A";"753";"A";"641";"A";"1289";"A";"755";"A";"32.0";"A"
"2016-11";"288.74";"A";"2616";"A";"302";"A";"376";"A";"406";"A";"524";"A";"709";"A";"423";"A";"408";"A";"827";"A";"688";"A";"1057";"A";"753";"A";"39.0";"A"
"2016-10";"268.5";"A";"2758";"A";"420";"A";"451";"A";"556";"A";"616";"A";"849";"A";"515";"A";"574";"A";"1222";"A";"1052";"A";"1348";"A";"1071";"A";"168.0";"A"
"2016-09";"156.98";"A";"2479";"A";"425";"A";"473";"A";"558";"A";"588";"A";"827";"A";"595";"A";"661";"A";"1310";"A";"1195";"A";"1459";"A";"1263";"A";"371.0";"A"
"2016-08";"293.43";"A";"1897";"A";"496";"A";"531";"A";"670";"A";"546";"A";"825";"A";"747";"A";"850";"A";"1846";"A";"1813";"A";"1920";"A";"1864";"A";"442.0";"A"
"2016-07";"269.3";"A";"2321";"A";"493";"A";"535";"A";"619";"A";"569";"A";"813";"A";"690";"A";"700";"A";"1521";"A";"1450";"A";"1798";"A";"1571";"A";"362.0";"A"
"2016-06";"171.23";"A";"2534";"A";"446";"A";"480";"A";"532";"A";"589";"A";"834";"A";"610";"A";"616";"A";"1184";"A";"1175";"A";"1465";"A";"1264";"A";"337.0";"A"
"2016-05";"244.38";"A";"2539";"A";"447";"A";"485";"A";"568";"A";"630";"A";"827";"A";"565";"A";"620";"A";"1210";"A";"1103";"A";"1397";"A";"1268";"A";"262.0";"A"
"2016-04";"248.25";"A";"2415";"A";"394";"A";"407";"A";"490";"A";"576";"A";"719";"A";"513";"A";"538";"A";"1073";"A";"972";"A";"1331";"A";"1117";"A";"135.0";"A"
"2016-03";"295.99";"A";"2536";"A";"346";"A";"395";"A";"447";"A";"560";"A";"701";"A";"454";"A";"472";"A";"902";"A";"789";"A";"1684";"A";"999";"A";"43.0";"A"
"2016-02";"285.44";"A";"2140";"A";"272";"A";"364";"A";"363";"A";"480";"A";"616";"A";"371";"A";"386";"A";"740";"A";"686";"A";"1720";"A";"891";"A";"29.0";"A"
"2016-01";"290.38";"A";"2286";"A";"247";"A";"295";"A";"311";"A";"470";"A";"534";"A";"339";"A";"329";"A";"612";"A";"565";"A";"1314";"A";"704";"A";"23.0";"A"
"2015-12";"303.86";"A";"2380";"A";"280";"A";"342";"A";"360";"A";"511";"A";"868";"A";"355";"A";"369";"A";"729";"A";"628";"A";"1250";"A";"681";"A";"26.0";"A"
"2015-11";"258.92";"A";"2333";"A";"276";"A";"342";"A";"368";"A";"529";"A";"653";"A";"376";"A";"384";"A";"758";"A";"645";"A";"970";"A";"693";"A";"35.0";"A"
"2015-10";"232.56";"A";"2711";"A";"406";"A";"442";"A";"498";"A";"615";"A";"800";"A";"472";"A";"528";"A";"1129";"A";"995";"A";"1240";"A";"1032";"A";"162.0";"A"
"2015-09";"150.0";"A";"2539";"A";"427";"A";"481";"A";"532";"A";"618";"A";"837";"A";"563";"A";"653";"A";"1280";"A";"1195";"A";"1418";"A";"1281";"A";"357.0";"A"
"2015-08";"272.78";"A";"2109";"A";"462";"A";"512";"A";"637";"A";"538";"A";"824";"A";"713";"A";"845";"A";"1800";"A";"1753";"A";"1846";"A";"1868";"A";"450.0";"A"
"2015-07";"221.65";"A";"2363";"A";"474";"A";"506";"A";"599";"A";"574";"A";"789";"A";"644";"A";"691";"A";"1441";"A";"1430";"A";"1713";"A";"1553";"A";"339.0";"A"
"2015-06";"158.39";"A";"2677";"A";"434";"A";"497";"A";"567";"A";"619";"A";"817";"A";"609";"A";"618";"A";"1225";"A";"1148";"A";"1466";"A";"1311";"A";"336.0";"A"
"2015-05";"251.01";"A";"2529";"A";"425";"A";"472";"A";"584";"A";"595";"A";"826";"A";"547";"A";"625";"A";"1216";"A";"1151";"A";"1336";"A";"1312";"A";"298.0";"A"
"2015-04";"280.89";"A";"2482";"A";"377";"A";"394";"A";"528";"A";"561";"A";"692";"A";"493";"A";"534";"A";"1085";"A";"947";"A";"1248";"A";"1093";"A";"125.0";"A"
"2015-03";"303.93";"A";"2487";"A";"309";"A";"371";"A";"427";"A";"518";"A";"659";"A";"406";"A";"459";"A";"856";"A";"739";"A";"1608";"A";"914";"A";"38.0";"A"
"2015-02";"295.8";"A";"2208";"A";"279";"A";"346";"A";"353";"A";"448";"A";"586";"A";"337";"A";"363";"A";"712";"A";"652";"A";"1616";"A";"827";"A";"28.0";"A"
"2015-01";"277.99";"A";"2359";"A";"238";"A";"296";"A";"304";"A";"441";"A";"552";"A";"326";"A";"319";"A";"610";"A";"575";"A";"1287";"A";"710";"A";"26.0";"A"
"2014-12";"267.18";"A";"2680";"A";"267";"A";"325";"A";"342";"A";"470";"A";"910";"A";"329";"A";"338";"A";"698";"A";"637";"A";"1341";"A";"702";"A";"33.0";"A"
"2014-11";"230.24";"A";"2586";"A";"291";"A";"336";"A";"401";"A";"527";"A";"676";"A";"363";"A";"395";"A";"759";"A";"664";"A";"992";"A";"687";"A";"36.0";"A"
"2014-10";"218.01";"A";"2783";"A";"383";"A";"427";"A";"512";"A";"606";"A";"802";"A";"450";"A";"513";"A";"1097";"A";"1033";"A";"1290";"A";"1036";"A";"152.0";"A"
"2014-09";"125.12";"A";"2552";"A";"413";"A";"461";"A";"554";"A";"610";"A";"848";"A";"560";"A";"617";"A";"1273";"A";"1223";"A";"1414";"A";"1294";"A";"349.0";"A"
"2014-08";"261.11";"A";"2104";"A";"430";"A";"503";"A";"657";"A";"552";"A";"833";"A";"687";"A";"812";"A";"1791";"A";"1854";"A";"1923";"A";"1923";"A";"422.0";"A"
"2014-07";"213.64";"A";"2378";"A";"456";"A";"490";"A";"593";"A";"576";"A";"799";"A";"590";"A";"637";"A";"1411";"A";"1400";"A";"1690";"A";"1519";"A";"306.0";"A"
"2014-06";"164.8";"A";"2692";"A";"451";"A";"484";"A";"570";"A";"630";"A";"845";"A";"597";"A";"593";"A";"1231";"A";"1214";"A";"1464";"A";"1351";"A";"330.0";"A"
"2014-05";"217.57";"A";"2618";"A";"414";"A";"440";"A";"557";"A";"616";"A";"803";"A";"500";"A";"569";"A";"1157";"A";"1133";"A";"1256";"A";"1342";"A";"279.0";"A"
"2014-04";"262.47";"A";"2545";"A";"385";"A";"406";"A";"503";"A";"577";"A";"726";"A";"471";"A";"506";"A";"1026";"A";"946";"A";"1234";"A";"1095";"A";"126.0";"A"
"2014-03";"313.2";"A";"2658";"A";"307";"A";"368";"A";"429";"A";"529";"A";"655";"A";"384";"A";"398";"A";"854";"A";"751";"A";"1607";"A";"989";"A";"45.0";"A"
"2014-02";"298.82";"A";"2187";"A";"250";"A";"326";"A";"359";"A";"456";"A";"577";"A";"338";"A";"343";"A";"654";"A";"637";"A";"1532";"A";"812";"A";"32.0";"A"
"2014-01";"294.45";"A";"2327";"A";"247";"A";"280";"A";"306";"A";"420";"A";"562";"A";"320";"A";"303";"A";"594";"A";"556";"A";"1226";"A";"707";"A";"29.0";"A"
"2013-12";"287.44";"A";"2619";"A";"265";"A";"312";"A";"331";"A";"467";"A";"859";"A";"314";"A";"334";"A";"672";"A";"625";"A";"1274";"A";"692";"A";"34.0";"A"
"2013-11";"261.6";"A";"2646";"A";"311";"A";"338";"A";"416";"A";"539";"A";"707";"A";"384";"A";"410";"A";"810";"A";"701";"A";"1068";"A";"770";"A";"41.0";"A"
"2013-10";"222.55";"A";"2707";"A";"381";"A";"433";"A";"488";"A";"575";"A";"830";"A";"461";"A";"492";"A";"1070";"A";"1000";"A";"1234";"A";"1075";"A";"149.0";"A"
"2013-09";"143.84";"A";"2481";"A";"395";"A";"470";"A";"523";"A";"576";"A";"824";"A";"518";"A";"607";"A";"1256";"A";"1238";"A";"1415";"A";"1320";"A";"348.0";"A"
"2013-08";"291.75";"A";"2039";"A";"459";"A";"501";"A";"670";"A";"551";"A";"812";"A";"709";"A";"858";"A";"1863";"A";"1882";"A";"1922";"A";"1962";"A";"452.0";"A"
"2013-07";"226.09";"A";"2386";"A";"459";"A";"504";"A";"601";"A";"584";"A";"817";"A";"593";"A";"626";"A";"1418";"A";"1432";"A";"1792";"A";"1568";"A";"336.0";"A"
"2013-06";"181.78";"A";"2838";"A";"452";"A";"486";"A";"581";"A";"620";"A";"834";"A";"579";"A";"583";"A";"1205";"A";"1194";"A";"1507";"A";"1413";"A";"342.0";"A"
"2013-05";"269.0";"A";"2629";"A";"455";"A";"468";"A";"584";"A";"609";"A";"851";"A";"531";"A";"632";"A";"1270";"A";"1205";"A";"1333";"A";"1358";"A";"301.0";"A"
"2013-04";"264.96";"A";"2658";"A";"364";"A";"399";"A";"468";"A";"556";"A";"733";"A";"440";"A";"490";"A";"1023";"A";"959";"A";"1244";"A";"1024";"A";"131.0";"A"
"2013-03";"347.14";"A";"2615";"A";"345";"A";"403";"A";"452";"A";"541";"A";"702";"A";"419";"A";"435";"A";"908";"A";"810";"A";"1839";"A";"1014";"A";"53.0";"A"
"2013-02";"298.96";"A";"2343";"A";"257";"A";"324";"A";"333";"A";"445";"A";"585";"A";"350";"A";"323";"A";"669";"A";"616";"A";"1509";"A";"810";"A";"30.0";"A"
"2013-01";"307.48";"A";"2369";"A";"247";"A";"289";"A";"306";"A";"429";"A";"550";"A";"337";"A";"297";"A";"608";"A";"557";"A";"1331";"A";"682";"A";"25.0";"A"
"2012-12";"275.06";"A";"2715";"A";"260";"A";"315";"A";"337";"A";"482";"A";"860";"A";"341";"A";"331";"A";"668";"A";"614";"A";"1325";"A";"725";"A";"35.0";"A"
"2012-11";"263.36";"A";"2785";"A";"337";"A";"370";"A";"425";"A";"539";"A";"733";"A";"420";"A";"422";"A";"855";"A";"700";"A";"1110";"A";"761";"A";"49.0";"A"
"2012-10";"204.4";"A";"2794";"A";"381";"A";"407";"A";"476";"A";"576";"A";"799";"A";"450";"A";"467";"A";"1042";"A";"1053";"A";"1220";"A";"1048";"A";"145.0";"A"
"2012-09";"147.85";"A";"2593";"A";"435";"A";"483";"A";"573";"A";"590";"A";"877";"A";"548";"A";"639";"A";"1301";"A";"1282";"A";"1427";"A";"1360";"A";"361.0";"A"
"2012-08";"302.55";"A";"2125";"A";"465";"A";"514";"A";"675";"A";"528";"A";"818";"A";"660";"A";"794";"A";"1836";"A";"1907";"A";"1908";"A";"2018";"A";"475.0";"A"
"2012-07";"245.91";"A";"2663";"A";"485";"A";"522";"A";"593";"A";"563";"A";"819";"A";"595";"A";"647";"A";"1486";"A";"1526";"A";"1737";"A";"1687";"A";"353.0";"A"
"2012-06";"170.0";"A";"2900";"A";"462";"A";"491";"A";"568";"A";"625";"A";"852";"A";"574";"A";"593";"A";"1213";"A";"1283";"A";"1489";"A";"1374";"A";"324.0";"A"
"2012-05";"262.27";"A";"2754";"A";"441";"A";"465";"A";"578";"A";"603";"A";"822";"A";"502";"A";"607";"A";"1180";"A";"1150";"A";"1273";"A";"1238";"A";"266.0";"A"
"2012-04";"282.86";"A";"2713";"A";"413";"A";"406";"A";"522";"A";"586";"A";"723";"A";"468";"A";"543";"A";"1059";"A";"1010";"A";"1258";"A";"1115";"A";"150.0";"A"
"2012-03";"327.77";"A";"2794";"A";"328";"A";"396";"A";"458";"A";"539";"A";"681";"A";"443";"A";"446";"A";"879";"A";"777";"A";"1688";"A";"1030";"A";"47.0";"A"
"2012-02";"333.59";"A";"2344";"A";"281";"A";"344";"A";"358";"A";"453";"A";"581";"A";"355";"A";"344";"A";"673";"A";"665";"A";"1625";"A";"873";"A";"32.0";"A"
"2012-01";"329.1";"A";"2476";"A";"266";"A";"315";"A";"318";"A";"435";"A";"529";"A";"341";"A";"311";"A";"589";"A";"559";"A";"1283";"A";"715";"A";"30.0";"A"
"2011-12";"298.39";"A";"2857";"A";"277";"A";"331";"A";"343";"A";"464";"A";"878";"A";"353";"A";"321";"A";"656";"A";"586";"A";"1266";"A";"724";"A";"31.0";"A"
"2011-11";"288.49";"A";"2799";"A";"312";"A";"363";"A";"406";"A";"507";"A";"678";"A";"382";"A";"381";"A";"794";"A";"652";"A";"1015";"A";"758";"A";"37.0";"A"
"2011-10";"233.2";"A";"2920";"A";"397";"A";"444";"A";"564";"A";"604";"A";"824";"A";"484";"A";"532";"A";"1110";"A";"1093";"A";"1251";"A";"1123";"A";"142.0";"A"
"2011-09";"146.92";"A";"2766";"A";"419";"A";"500";"A";"568";"A";"604";"A";"873";"A";"558";"A";"601";"A";"1318";"A";"1273";"A";"1475";"A";"1405";"A";"356.0";"A"
"2011-08";"285.43";"A";"2318";"A";"465";"A";"528";"A";"668";"A";"548";"A";"859";"A";"649";"A";"801";"A";"1822";"A";"1857";"A";"1891";"A";"1964";"A";"431.0";"A"
"2011-07";"240.0";"A";"2702";"A";"485";"A";"536";"A";"615";"A";"585";"A";"833";"A";"624";"A";"671";"A";"1514";"A";"1580";"A";"1839";"A";"1755";"A";"346.0";"A"
"2011-06";"195.98";"A";"2940";"A";"497";"A";"528";"A";"633";"A";"687";"A";"885";"A";"629";"A";"668";"A";"1350";"A";"1291";"A";"1550";"A";"1430";"A";"354.0";"A"
"2011-05";"260.34";"A";"2999";"A";"423";"A";"458";"A";"562";"A";"611";"A";"822";"A";"495";"A";"545";"A";"1162";"A";"1097";"A";"1257";"A";"1248";"A";"284.0";"A"
"2011-04";"300.01";"A";"2787";"A";"388";"A";"431";"A";"585";"A";"588";"A";"751";"A";"500";"A";"556";"A";"1129";"A";"983";"A";"1346";"A";"1123";"A";"153.0";"A"
"2011-03";"326.26";"A";"2842";"A";"325";"A";"408";"A";"436";"A";"543";"A";"681";"A";"405";"A";"420";"A";"876";"A";"736";"A";"1639";"A";"963";"A";"50.0";"A"
"2011-02";"315.58";"A";"2329";"A";"258";"A";"357";"A";"376";"A";"458";"A";"574";"A";"355";"A";"335";"A";"668";"A";"641";"A";"1555";"A";"851";"A";"33.0";"A"
"2011-01";"322.47";"A";"2532";"A";"266";"A";"309";"A";"313";"A";"453";"A";"537";"A";"329";"A";"273";"A";"577";"A";"549";"A";"1293";"A";"694";"A";"27.0";"A"
